
===== doforpjh.wav =====
[] Data chunk size = 66150
[] The number of channel = 1 (mono = 1, stereo = 2)
[] Sampling rate = 22050 [Hz or samples/sec]
[] Sample resolution = 8 [bits/sample]
[] Play time = 3.000000 [sec]
Array size : 66150
Print bin end
Index : 65536
=== END ===
==== PRINT ====
0xf7213028 real : 422.065850 / imag : -314.766751 
0xf7213038 real : 0.000000 / imag : 0.000000 
0xf7213048 real : 315.441043 / imag : -858.818642 
0xf7213058 real : 0.000000 / imag : 0.000000 
0xf7213068 real : 333.363507 / imag : -80.605176 
0xf7213078 real : 0.000000 / imag : 0.000000 
0xf7213088 real : 426.630450 / imag : -1772.249008 
0xf7213098 real : 0.000000 / imag : 0.000000 
0xf72130a8 real : 357.934545 / imag : -248.495899 
0xf72130b8 real : 0.000000 / imag : 0.000000 
0xf72130c8 real : 370.413302 / imag : -582.931871 
0xf72130d8 real : 0.000000 / imag : 0.000000 
0xf72130e8 real : 318.426008 / imag : -144.308990 
0xf72130f8 real : 0.000000 / imag : 0.000000 
0xf7213108 real : 156.684997 / imag : -3942.167424 
0xf7213118 real : 0.000000 / imag : 0.000000 
0xf7213128 real : 481.301323 / imag : -272.471827 
0xf7213138 real : 0.000000 / imag : 0.000000 
0xf7213148 real : 332.337425 / imag : -643.297995 
0xf7213158 real : 0.000000 / imag : 0.000000 
0xf7213168 real : 352.713722 / imag : -202.640484 
0xf7213178 real : 0.000000 / imag : 0.000000 
0xf7213188 real : 343.055902 / imag : -1198.836093 
0xf7213198 real : 0.000000 / imag : 0.000000 
0xf72131a8 real : 282.827965 / imag : -131.938357 
0xf72131b8 real : 0.000000 / imag : 0.000000 
0xf72131c8 real : 351.310066 / imag : -488.704012 
0xf72131d8 real : 0.000000 / imag : 0.000000 
0xf72131e8 real : 359.029489 / imag : -47.613980 
0xf72131f8 real : 0.000000 / imag : 0.000000 
0xf7213208 real : -922.214604 / imag : -11501.593204 
0xf7213218 real : 0.000000 / imag : 0.000000 
0xf7213228 real : 383.799446 / imag : -324.802085 
0xf7213238 real : 0.000000 / imag : 0.000000 
0xf7213248 real : 321.378619 / imag : -738.792554 
0xf7213258 real : 0.000000 / imag : 0.000000 
0xf7213268 real : 365.102025 / imag : -153.346718 
0xf7213278 real : 0.000000 / imag : 0.000000 
0xf7213288 real : 323.865147 / imag : -1458.744319 
0xf7213298 real : 0.000000 / imag : 0.000000 
0xf72132a8 real : 181.561021 / imag : -133.332624 
0xf72132b8 real : 0.000000 / imag : 0.000000 
0xf72132c8 real : 359.607493 / imag : -562.854280 
0xf72132d8 real : 0.000000 / imag : 0.000000 
0xf72132e8 real : 356.763778 / imag : -68.463699 
0xf72132f8 real : 0.000000 / imag : 0.000000 
0xf7213308 real : 292.743145 / imag : -2486.051987 
0xf7213318 real : 0.000000 / imag : 0.000000 
0xf7213328 real : 468.923185 / imag : -273.770751 
0xf7213338 real : 0.000000 / imag : 0.000000 
0xf7213348 real : 303.000325 / imag : -472.574072 
0xf7213358 real : 0.000000 / imag : 0.000000 
0xf7213368 real : 354.521571 / imag : -121.458498 
0xf7213378 real : 0.000000 / imag : 0.000000 
0xf7213388 real : 342.600303 / imag : -1013.636552 
0xf7213398 real : 0.000000 / imag : 0.000000 
0xf72133a8 real : 359.897753 / imag : -174.339163 
0xf72133b8 real : 0.000000 / imag : 0.000000 
0xf72133c8 real : 367.246642 / imag : -402.656598 
0xf72133d8 real : 0.000000 / imag : 0.000000 
0xf72133e8 real : 491.191476 / imag : 0.273321 
0xf72133f8 real : 0.000000 / imag : 0.000000 
0xf7213408 real : 5961.022791 / imag : 27532.969371 
0xf7213418 real : 0.000000 / imag : 0.000000 
0xf7213428 real : 345.554736 / imag : -373.988929 
0xf7213438 real : 0.000000 / imag : 0.000000 
0xf7213448 real : 424.457474 / imag : -860.205746 
0xf7213458 real : 0.000000 / imag : 0.000000 
0xf7213468 real : 360.463295 / imag : -113.857276 
0xf7213478 real : 0.000000 / imag : 0.000000 
0xf7213488 real : 400.917104 / imag : -1622.933849 
0xf7213498 real : 0.000000 / imag : 0.000000 
0xf72134a8 real : 514.092356 / imag : -286.395883 
0xf72134b8 real : 0.000000 / imag : 0.000000 
0xf72134c8 real : 371.768423 / imag : -496.203434 
0xf72134d8 real : 0.000000 / imag : 0.000000 
0xf72134e8 real : 375.458493 / imag : -61.773895 
0xf72134f8 real : 0.000000 / imag : 0.000000 
